Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","SMD-0805",25.9080,20.8280,0.0000,bottom
"C2","10uF","SMD-0805",25.9080,18.7960,0.0000,bottom
"D1","BZV55C","Diode-MiniMELF_Standard",14.2240,30.4800,0.0000,bottom
"D2","LED","LED_1206",27.9400,35.5600,-90.0000,bottom
"R1","1K","SMD-0805",27.9400,30.9880,-90.0000,bottom
"R2","10K","SMD-0805",18.8595,25.9080,180.0000,bottom
"R3","10K","SMD-0805",22.4155,25.9080,0.0000,bottom
"U1","PCF85263A","TSSOP-10_3x3mm_Pitch0.5mm",19.3040,21.3360,0.0000,bottom
